algoritmo,k,regione,stima percentuale popolazione vaccinata,stima numero vaccinazioni,cluster
BISECTINGKMEANS,2,Lombardia,0.6158433758148898,6138106,1
BISECTINGKMEANS,2,Marche,0.6122574440224696,919247,1
BISECTINGKMEANS,2,Molise,0.6525070224955909,193499,1
BISECTINGKMEANS,2,Piemonte,0.6006479906206341,2566695,1
BISECTINGKMEANS,2,Provincia Autonoma Bolzano,0.6083696354796099,324696,1
BISECTINGKMEANS,2,Provincia Autonoma Trento,0.5559959246987123,302876,0
BISECTINGKMEANS,2,Puglia,0.6134029347599945,2408791,1
BISECTINGKMEANS,2,Sardegna,0.5789854369691376,925349,0
BISECTINGKMEANS,2,Sicilia,0.5423156883175689,2625283,0
BISECTINGKMEANS,2,Toscana,0.5932702947087956,2176313,0
BISECTINGKMEANS,2,Umbria,0.6196034048043209,535965,1
BISECTINGKMEANS,2,Valle d'Aosta,0.6078130675168489,75305,1
BISECTINGKMEANS,2,Veneto,0.5913275203283782,2869389,0
BISECTINGKMEANS,3,Abruzzo,0.6255057358222798,803935,2
BISECTINGKMEANS,3,Basilicata,0.6066759316920481,332203,1
BISECTINGKMEANS,3,Calabria,0.5739010122871896,1077630,0
BISECTINGKMEANS,3,Campania,0.5978158580320045,3395450,1
BISECTINGKMEANS,3,Emilia-Romagna,0.6072800007378166,2699693,1
BISECTINGKMEANS,3,Friuli-Venezia Giulia,0.6254758069427147,749791,2
BISECTINGKMEANS,3,Lazio,0.5996202276746103,3430305,1
BISECTINGKMEANS,3,Liguria,0.6422829438238713,969722,2
BISECTINGKMEANS,3,Lombardia,0.6158433758148898,6138106,1
BISECTINGKMEANS,3,Marche,0.6122574440224696,919247,1
BISECTINGKMEANS,3,Molise,0.6525070224955909,193499,2
BISECTINGKMEANS,3,Piemonte,0.6006479906206341,2566695,1
BISECTINGKMEANS,3,Provincia Autonoma Bolzano,0.6083696354796099,324696,1
BISECTINGKMEANS,3,Provincia Autonoma Trento,0.5559959246987123,302876,0
BISECTINGKMEANS,3,Puglia,0.6134029347599945,2408791,1
BISECTINGKMEANS,3,Sardegna,0.5789854369691376,925349,0
BISECTINGKMEANS,3,Sicilia,0.5423156883175689,2625283,0
BISECTINGKMEANS,3,Toscana,0.5932702947087956,2176313,0
BISECTINGKMEANS,3,Umbria,0.6196034048043209,535965,1
BISECTINGKMEANS,3,Valle d'Aosta,0.6078130675168489,75305,1
BISECTINGKMEANS,3,Veneto,0.5913275203283782,2869389,0
BISECTINGKMEANS,4,Abruzzo,0.6255057358222798,803935,3
BISECTINGKMEANS,4,Basilicata,0.6066759316920481,332203,2
BISECTINGKMEANS,4,Calabria,0.5739010122871896,1077630,1
BISECTINGKMEANS,4,Campania,0.5978158580320045,3395450,2
BISECTINGKMEANS,4,Emilia-Romagna,0.6072800007378166,2699693,2
BISECTINGKMEANS,4,Friuli-Venezia Giulia,0.6254758069427147,749791,3
BISECTINGKMEANS,4,Lazio,0.5996202276746103,3430305,2
BISECTINGKMEANS,4,Liguria,0.6422829438238713,969722,3
BISECTINGKMEANS,4,Lombardia,0.6158433758148898,6138106,2
BISECTINGKMEANS,4,Marche,0.6122574440224696,919247,2
BISECTINGKMEANS,4,Molise,0.6525070224955909,193499,3
